년,월,일,시군구코드,시군구,법정동,아파트명,거래가격,전용면적
2018,4,11~20,11110,서울특별시 종로구, 인의동,효성쥬얼리시티,"62,000",92.81
2018,4,1~10,11110,서울특별시 종로구, 혜화동,혜화훼미리,"68,000",111.86
2018,4,1~10,11110,서울특별시 종로구, 숭인동,종로중흥S클래스,"13,700",17.811
2018,4,1~10,11110,서울특별시 종로구, 숭인동,종로중흥S클래스,"13,500",19.466
2018,4,1~10,11110,서울특별시 종로구, 숭인동,숭인상가,"34,000",80.85
2018,4,1~10,11110,서울특별시 종로구, 교북동,동아,"55,000",84.28
2018,4,1~10,11110,서울특별시 종로구, 무악동,현대,"67,970",84.92
2018,4,1~10,11140,서울특별시 중구, 남대문로5가,남산트라팰리스,"118,000",148.47
2018,4,1~10,11140,서울특별시 중구, 신당동,란스미어,"47,200",83.69
2018,4,1~10,11140,서울특별시 중구, 신당동,삼성V아파트B동,"55,600",84.84
2018,4,11~20,11140,서울특별시 중구, 신당동,신신(1차),"19,500",53.88
2018,4,1~10,11140,서울특별시 중구, 황학동,중구리버빌,"42,500",90.96
2018,4,1~10,11140,서울특별시 중구, 황학동,DUO302,"17,500",15.97
2018,4,11~20,11140,서울특별시 중구, 황학동,DUO302,"17,900",15.97
2018,4,1~10,11170,서울특별시 용산구, 후암동,화인,"70,500",143.25
2018,4,11~20,11170,서울특별시 용산구, 후암동,프리마베라빌,"93,000",199.25
2018,4,1~10,11170,서울특별시 용산구, 청암동,GS자이,"173,000",223.75
2018,4,11~20,11170,서울특별시 용산구, 도원동,삼성래미안,"73,000",114.99
2018,4,1~10,11170,서울특별시 용산구, 문배동,아크로타워,"87,300",126.3
2018,4,1~10,11170,서울특별시 용산구, 이촌동,한가람,"104,000",59.88
2018,4,1~10,11200,서울특별시 성동구, 상왕십리동,텐즈힐(2구역),"134,000",157.29
2018,4,11~20,11200,서울특별시 성동구, 하왕십리동,왕십리KCC스위첸,"72,800",64.236
2018,4,1~10,11200,서울특별시 성동구, 금호동4가,대우,"89,500",84.96
2018,4,1~10,11200,서울특별시 성동구, 옥수동,한남하이츠,"100,000",89.19
2018,4,11~20,11200,서울특별시 성동구, 옥수동,래미안 옥수 리버젠,"100,500",59.25
2018,4,11~20,11215,서울특별시 광진구, 구의동,성동강변파크빌101(강변타워),"59,800",84.97
2018,4,11~20,11215,서울특별시 광진구, 구의동,구의현대6단지,"75,000",84.92
2018,4,11~20,11215,서울특별시 광진구, 구의동,구의현대2단지,"82,515",84.91
2018,4,1~10,11215,서울특별시 광진구, 광장동,워커힐푸르지오,"62,000",69
2018,4,1~10,11215,서울특별시 광진구, 자양동,현대빌라트,"69,500",131.85
2018,4,1~10,11215,서울특별시 광진구, 자양동,래미안 프리미어팰리스,"89,800",102.87
2018,4,1~10,11215,서울특별시 광진구, 자양동,더샵스타시티,"122,500",139.6
2018,4,1~10,11230,서울특별시 동대문구, 용두동,두산베어스타워,"49,000",104.86
2018,4,1~10,11230,서울특별시 동대문구, 제기동,어진재,"16,000",15.61
2018,4,1~10,11230,서울특별시 동대문구, 전농동,동아,"41,500",57.9
2018,4,1~10,11230,서울특별시 동대문구, 전농동,전농동삼성래미안,"59,000",84.98
2018,4,1~10,11230,서울특별시 동대문구, 전농동,래미안아름숲,"80,000",114.9
2018,4,1~10,11230,서울특별시 동대문구, 답십리동,래미안위브,"87,000",84.99
2018,4,1~10,11230,서울특별시 동대문구, 답십리동,센시티16,"11,500",14.244
2018,4,11~20,11230,서울특별시 동대문구, 답십리동,우성그린,"44,800",84.98
2018,4,1~10,11230,서울특별시 동대문구, 장안동,가야써니빌(373-7),"34,700",84.87
2018,4,1~10,11230,서울특별시 동대문구, 휘경동,동양1차,"45,000",84.94
2018,4,1~10,11230,서울특별시 동대문구, 이문동,대우,"46,000",84.891
2018,4,1~10,11260,서울특별시 중랑구, 면목동,건원 베스트원,"17,500",21.92
2018,4,11~20,11260,서울특별시 중랑구, 면목동,두산3,"46,000",84.77
2018,4,11~20,11260,서울특별시 중랑구, 면목동,두산4,"37,000",59.97
2018,4,11~20,11260,서울특별시 중랑구, 상봉동,동부아파트,"29,050",54
2018,4,1~10,11260,서울특별시 중랑구, 중화동,동양엔파트2차,"51,000",84.87
2018,4,1~10,11260,서울특별시 중랑구, 중화동,한영(102),"27,000",72.22
2018,4,1~10,11260,서울특별시 중랑구, 중화동,동양엔파트,"45,000",84.1
2018,4,11~20,11260,서울특별시 중랑구, 중화동,한신1차,"38,500",59.76
2018,4,11~20,11260,서울특별시 중랑구, 중화동,청광플러스원,"40,000",84.96
2018,4,1~10,11260,서울특별시 중랑구, 묵동,신내,"32,000",59.76
2018,4,1~10,11260,서울특별시 중랑구, 묵동,신내대림,"63,500",126.28
2018,4,1~10,11260,서울특별시 중랑구, 묵동,신내,"27,800",49.77
2018,4,11~20,11260,서울특별시 중랑구, 묵동,극동늘푸른,"32,500",57.63
2018,4,11~20,11260,서울특별시 중랑구, 묵동,이편한세상 화랑대,"49,500",75.914
2018,4,1~10,11260,서울특별시 중랑구, 망우동,더하이어,"11,250",12.0156
2018,4,1~10,11260,서울특별시 중랑구, 망우동,중랑숲리가,"46,800",84.961
2018,4,11~20,11260,서울특별시 중랑구, 망우동,더하이어,"11,900",12.0156
2018,4,1~10,11260,서울특별시 중랑구, 신내동,신내9진흥,"18,200",33.18
2018,4,1~10,11290,서울특별시 성북구, 성북동1가,휴아름 스튜디오,"16,000",13.28
2018,4,1~10,11290,서울특별시 성북구, 돈암동,한진(609-1),"57,000",132.96
2018,4,1~10,11290,서울특별시 성북구, 돈암동,포스코더샵,"48,000",84.817
2018,4,1~10,11290,서울특별시 성북구, 돈암동,이수브라운스톤돈암,"54,000",84.97
2018,4,1~10,11290,서울특별시 성북구, 돈암동,한진(609-1),"35,500",59.58
2018,4,1~10,11290,서울특별시 성북구, 돈암동,돈암동 해피트리,"60,000",126.88
2018,4,11~20,11290,서울특별시 성북구, 돈암동,길음역 금호어울림,"67,000",84.88
2018,4,11~20,11290,서울특별시 성북구, 돈암동,돈암동 해피트리,"70,800",126.88
2018,4,1~10,11290,서울특별시 성북구, 동소문동4가,송산아파트,"36,000",58.59
2018,4,1~10,11290,서울특별시 성북구, 동소문동6가,청기와,"34,500",69.3
2018,4,1~10,11290,서울특별시 성북구, 동선동4가,한양수자인,"34,900",68.03
2018,4,1~10,11290,서울특별시 성북구, 안암동3가,대광,"16,300",51.93
2018,4,1~10,11290,서울특별시 성북구, 정릉동,정릉스카이 쌍용 아파트,"41,800",109.27
2018,4,1~10,11290,서울특별시 성북구, 정릉동,정릉하이츠빌2단지,"50,800",84.6824
2018,4,1~10,11290,서울특별시 성북구, 정릉동,우방,"28,800",59.94
2018,4,1~10,11290,서울특별시 성북구, 정릉동,정릉하이츠빌2단지,"40,800",84.95
2018,4,1~10,11290,서울특별시 성북구, 정릉동,정릉힐스테이트3차,"58,000",114.78
2018,4,1~10,11290,서울특별시 성북구, 정릉동,정릉풍림아이원,"30,300",59.88
2018,4,11~20,11290,서울특별시 성북구, 정릉동,정릉풍림아이원,"30,500",59.88
2018,4,11~20,11290,서울특별시 성북구, 정릉동,정릉푸르지오,"42,800",59.98
2018,4,1~10,11290,서울특별시 성북구, 길음동,길음뉴타운9단지(래미안),"78,000",114.86
2018,4,1~10,11290,서울특별시 성북구, 길음동,길음뉴타운9단지(래미안),"86,100",114.86
2018,4,1~10,11290,서울특별시 성북구, 길음동,길음뉴타운8단지(래미안),"66,000",84.82
2018,4,1~10,11290,서울특별시 성북구, 길음동,길음뉴타운2단지푸르지오,"48,500",84.97
2018,4,1~10,11290,서울특별시 성북구, 길음동,길음뉴타운2단지푸르지오,"46,500",59.99
2018,4,1~10,11290,서울특별시 성북구, 길음동,길음뉴타운2단지푸르지오,"49,800",84.97
2018,4,11~20,11290,서울특별시 성북구, 길음동,길음뉴타운9단지(래미안),"59,500",59.92
2018,4,11~20,11290,서울특별시 성북구, 길음동,길음뉴타운8단지(래미안),"77,000",114.99
2018,4,11~20,11290,서울특별시 성북구, 길음동,길음뉴타운9단지(래미안),"75,000",84.95
2018,4,1~10,11290,서울특별시 성북구, 석관동,삼성,"38,000",84.72
2018,4,1~10,11305,서울특별시 강북구, 미아동,푸르지오시티,"14,300",18.6479
2018,4,1~10,11305,서울특별시 강북구, 미아동,에스케이북한산시티,"41,900",84.76
2018,4,1~10,11305,서울특별시 강북구, 미아동,래미안트리베라1단지,"45,000",59.6
2018,4,1~10,11305,서울특별시 강북구, 미아동,삼성래미안트리베라2단지,"58,000",84.18
2018,4,1~10,11305,서울특별시 강북구, 미아동,두산위브트레지움,"46,700",59.54
2018,4,11~20,11305,서울특별시 강북구, 미아동,삼성래미안트리베라2단지,"45,500",59.33
2018,4,11~20,11305,서울특별시 강북구, 미아동,두산위브트레지움,"49,800",84.99
2018,4,1~10,11305,서울특별시 강북구, 번동,기산그린,"27,000",59.94
2018,4,1~10,11305,서울특별시 강북구, 번동,주공1단지,"34,400",71.89
2018,4,1~10,11305,서울특별시 강북구, 번동,한솔솔파크,"40,600",84.88
2018,4,1~10,11305,서울특별시 강북구, 수유동,수유벽산1차,"31,700",63.78
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,한양6,"34,900",83.86
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,신원2,"26,500",60
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,한양2,"15,900",35.1
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,한양2,"16,000",35.1
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,신원2,"26,500",60
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,한양7,"29,100",71.22
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,한양7,"34,250",84.92
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,현대1,"29,600",70.3
2018,4,1~10,11320,서울특별시 도봉구, 쌍문동,한양2,"31,500",84.9
2018,4,1~10,11320,서울특별시 도봉구, 방학동,동부센트레빌아파트,"42,200",84.909
2018,4,1~10,11320,서울특별시 도봉구, 방학동,신동아아파트1,"27,000",70.62
2018,4,11~20,11320,서울특별시 도봉구, 방학동,신동아아파트1,"41,500",112.49
2018,4,11~20,11320,서울특별시 도봉구, 방학동,방학E.S.A3아파트,"38,000",84.87
2018,4,11~20,11320,서울특별시 도봉구, 방학동,신동아아파트1,"17,500",43.35
2018,4,1~10,11320,서울특별시 도봉구, 창동,주공17단지,"19,000",36.34
2018,4,1~10,11320,서울특별시 도봉구, 창동,월가타워,"9,700",13.09
2018,4,1~10,11320,서울특별시 도봉구, 창동,주공17단지,"19,500",36.16
2018,4,1~10,11320,서울특별시 도봉구, 창동,창동현대4차,"60,000",101.9957
2018,4,1~10,11320,서울특별시 도봉구, 창동,새로움아파트,"28,500",64.56
2018,4,1~10,11320,서울특별시 도봉구, 창동,창동주공18단지,"29,000",45.77
2018,4,1~10,11320,서울특별시 도봉구, 창동,미소애,"24,000",45.466
2018,4,11~20,11320,서울특별시 도봉구, 창동,대동,"26,500",59.76
2018,4,11~20,11320,서울특별시 도봉구, 창동,창동주공3단지(해등마을),"37,250",58.01
2018,4,11~20,11320,서울특별시 도봉구, 창동,쌍용,"44,000",59.88
2018,4,1~10,11320,서울특별시 도봉구, 도봉동,한신,"34,700",84.94
2018,4,1~10,11320,서울특별시 도봉구, 도봉동,한신,"37,300",84.94
2018,4,1~10,11320,서울특별시 도봉구, 도봉동,서원,"23,950",49.77
2018,4,1~10,11320,서울특별시 도봉구, 도봉동,서원,"22,500",49.77
2018,4,1~10,11320,서울특별시 도봉구, 도봉동,서원,"23,400",49.77
2018,4,1~10,11350,서울특별시 노원구, 월계동,미성,"29,000",33.28
2018,4,1~10,11350,서울특별시 노원구, 월계동,초안1,"24,600",59.85
2018,4,1~10,11350,서울특별시 노원구, 월계동,꿈의숲 SK VIEW,"47,000",59.92
2018,4,1~10,11350,서울특별시 노원구, 공릉동,신명아파트,"24,800",59.99
2018,4,1~10,11350,서울특별시 노원구, 공릉동,시영3차(라이프)아파트,"22,750",39.6
2018,4,1~10,11350,서울특별시 노원구, 공릉동,시영2단지(라이프)아파트,"20,000",34.44
2018,4,1~10,11350,서울특별시 노원구, 공릉동,진명비베레,"8,700",13.9092
2018,4,1~10,11350,서울특별시 노원구, 공릉동,청솔아파트8,"44,500",84.83
2018,4,1~10,11350,서울특별시 노원구, 공릉동,태강아파트,"29,000",49.6
2018,4,11~20,11350,서울특별시 노원구, 공릉동,우방아파트,"33,000",61.151
2018,4,1~10,11350,서울특별시 노원구, 하계동,하계1청구,"53,000",84.6
2018,4,1~10,11350,서울특별시 노원구, 하계동,우성,"67,800",127.22
2018,4,1~10,11350,서울특별시 노원구, 하계동,한신1,"23,650",35.28
2018,4,11~20,11350,서울특별시 노원구, 하계동,우방,"30,300",59.74
2018,4,1~10,11350,서울특별시 노원구, 상계동,한창늘푸른,"38,000",105.65
2018,4,1~10,11350,서울특별시 노원구, 상계동,상계주공10(고층),"36,300",49.94
2018,4,1~10,11350,서울특별시 노원구, 상계동,한신4차,"37,000",84.84
2018,4,1~10,11350,서울특별시 노원구, 상계동,상계주공2(고층),"20,000",32.39
2018,4,1~10,11350,서울특별시 노원구, 상계동,상계주공3(고층),"56,900",73.94
2018,4,1~10,11350,서울특별시 노원구, 상계동,노원현대,"51,500",84.78
2018,4,1~10,11350,서울특별시 노원구, 상계동,상계대림,"32,000",59.67
2018,4,1~10,11350,서울특별시 노원구, 상계동,수락한신,"36,250",84.95
2018,4,1~10,11350,서울특별시 노원구, 상계동,상계주공16(고층),"24,900",45.77
2018,4,1~10,11350,서울특별시 노원구, 상계동,임광,"63,000",122.18
2018,4,11~20,11350,서울특별시 노원구, 상계동,은빛2단지,"21,450",39.7
2018,4,1~10,11350,서울특별시 노원구, 중계동,주공2,"23,000",44.52
2018,4,1~10,11350,서울특별시 노원구, 중계동,중계그린1단지,"19,000",39.78
2018,4,11~20,11350,서울특별시 노원구, 중계동,주공2,"21,500",44.52
2018,4,11~20,11350,서울특별시 노원구, 중계동,주공2,"22,000",44.52
2018,4,11~20,11350,서울특별시 노원구, 중계동,염광,"43,500",84.5
2018,4,1~10,11380,서울특별시 은평구, 수색동,대림한숲,"43,000",84.951
2018,4,1~10,11380,서울특별시 은평구, 수색동,대림한숲,"43,000",84.951
2018,4,11~20,11380,서울특별시 은평구, 녹번동,녹번현대아파트,"30,000",79.52
2018,4,1~10,11380,서울특별시 은평구, 불광동,북한산현대힐스테이트3차아파트,"83,000",129.46
2018,4,11~20,11380,서울특별시 은평구, 불광동,라이프미성,"47,500",84.65
2018,4,1~10,11380,서울특별시 은평구, 응암동,백련산힐스테이트2차,"64,800",114.66
2018,4,1~10,11380,서울특별시 은평구, 응암동,백련산힐스테이트1차,"51,000",84.59
2018,4,11~20,11380,서울특별시 은평구, 응암동,백련산힐스테이트2차,"53,800",84.37
2018,4,11~20,11380,서울특별시 은평구, 응암동,백련산힐스테이트2차,"43,500",59.63
2018,4,1~10,11380,서울특별시 은평구, 신사동,이랜드 타운아파트,"34,900",59.982
2018,4,1~10,11380,서울특별시 은평구, 증산동,167-1(문영마운틴),"43,000",84.69
2018,4,1~10,11380,서울특별시 은평구, 진관동,박석고개1단지,"55,000",59.87
2018,4,11~20,11380,서울특별시 은평구, 진관동,마고정(센트레빌3단지),"59,000",84.17
2018,4,1~10,11410,서울특별시 서대문구, 영천동,독립문삼호,"68,000",84.78
2018,4,1~10,11410,서울특별시 서대문구, 영천동,독립문삼호,"65,700",84.78
2018,4,1~10,11410,서울특별시 서대문구, 홍제동,홍제삼성래미안,"44,300",60
2018,4,1~10,11410,서울특별시 서대문구, 홍제동,청구1차,"55,000",84.78
2018,4,1~10,11410,서울특별시 서대문구, 홍제동,인왕산현대,"54,000",84.9
2018,4,1~10,11410,서울특별시 서대문구, 홍제동,홍제원현대(459-0),"71,000",114.72
2018,4,1~10,11410,서울특별시 서대문구, 홍제동,인왕산현대,"47,000",59.93
2018,4,11~20,11410,서울특별시 서대문구, 홍제동,청구3차,"50,000",84.96
2018,4,1~10,11410,서울특별시 서대문구, 창천동,3RU-City,"16,500",16.84
2018,4,1~10,11410,서울특별시 서대문구, 연희동,대우푸르지오,"70,000",114.705
2018,4,11~20,11410,서울특별시 서대문구, 연희동,연희자이엘라,"17,000",13.642
2018,4,1~10,11410,서울특별시 서대문구, 홍은동,초원,"14,600",49.26
2018,4,1~10,11410,서울특별시 서대문구, 홍은동,홍은동벽산,"35,700",58.64
2018,4,11~20,11410,서울특별시 서대문구, 홍은동,"현대(1,2차)","42,450",84.77
2018,4,1~10,11410,서울특별시 서대문구, 북가좌동,DMC래미안e편한세상,"75,000",84.95
2018,4,1~10,11410,서울특별시 서대문구, 북가좌동,북가좌동두산위브,"51,000",84.9631
2018,4,1~10,11410,서울특별시 서대문구, 북가좌동,요진,"40,000",82.08
2018,4,1~10,11410,서울특별시 서대문구, 남가좌동,남가좌동현대,"54,000",84.78
2018,4,1~10,11410,서울특별시 서대문구, 남가좌동,디엠씨엘가,"14,900",13.03
2018,4,11~20,11410,서울특별시 서대문구, 남가좌동,남가좌동현대,"38,800",59.4
2018,4,1~10,11440,서울특별시 마포구, 아현동,마포래미안푸르지오4단지,"139,000",84.3884
2018,4,1~10,11440,서울특별시 마포구, 도화동,도화동현대,"70,500",128.26
2018,4,1~10,11440,서울특별시 마포구, 대흥동,서희스타힐스,"21,500",12.85
2018,4,1~10,11440,서울특별시 마포구, 대흥동,마포자이2차,"113,000",84.44
2018,4,1~10,11440,서울특별시 마포구, 창전동,서강예가,"92,500",84.988
2018,4,1~10,11440,서울특별시 마포구, 서교동,대우미래사랑,"26,700",34.29
2018,4,11~20,11440,서울특별시 마포구, 서교동,메세나폴리스,"171,000",148.981
2018,4,11~20,11440,서울특별시 마포구, 서교동,삼익플라주서교1,"45,000",84.52
2018,4,1~10,11440,서울특별시 마포구, 합정동,마포한강2차푸르지오,"120,000",83.45
2018,4,1~10,11470,서울특별시 양천구, 신정동,수정,"22,900",48.6
2018,4,1~10,11470,서울특별시 양천구, 신정동,학마을1단지,"27,900",49.98
2018,4,1~10,11470,서울특별시 양천구, 신정동,학마을1단지,"39,500",59.98
2018,4,1~10,11470,서울특별시 양천구, 신정동,목동현대3차,"73,000",84.77
2018,4,1~10,11470,서울특별시 양천구, 신정동,이펜하우스2단지,"47,500",84.51
2018,4,1~10,11470,서울특별시 양천구, 신정동,청구,"57,800",84.99
2018,4,11~20,11470,서울특별시 양천구, 신정동,신정6현대,"55,000",114.8
2018,4,1~10,11470,서울특별시 양천구, 목동,목동금호베스트빌,"60,000",83.71
2018,4,1~10,11470,서울특별시 양천구, 목동,일신파스텔,"30,000",59.28
2018,4,1~10,11470,서울특별시 양천구, 목동,목동노블레스,"53,500",81.26
2018,4,11~20,11470,서울특별시 양천구, 목동,동원,"29,600",64.53
2018,4,1~10,11470,서울특별시 양천구, 신월동,신월시영,"26,300",50.67
2018,4,1~10,11470,서울특별시 양천구, 신월동,디아이빌102동,"24,800",83.79
2018,4,1~10,11470,서울특별시 양천구, 신월동,방주아크빌,"30,000",76.57
2018,4,11~20,11470,서울특별시 양천구, 신월동,덕현해밀(102동),"32,000",69.93
2018,4,11~20,11470,서울특별시 양천구, 신월동,벽산블루밍2단지,"44,000",84.9285
2018,4,1~10,11500,서울특별시 강서구, 염창동,길훈,"51,000",84.8
2018,4,1~10,11500,서울특별시 강서구, 염창동,강변월드메르디앙,"69,500",84.9341
2018,4,1~10,11500,서울특별시 강서구, 등촌동,대림,"73,000",123.72
2018,4,1~10,11500,서울특별시 강서구, 등촌동,"등촌1,2단지주공아파트","35,500",41.85
2018,4,1~10,11500,서울특별시 강서구, 등촌동,주공3,"55,000",58.14
2018,4,11~20,11500,서울특별시 강서구, 등촌동,주공3,"53,000",58.14
2018,4,11~20,11500,서울특별시 강서구, 등촌동,부영,"58,000",80.64
2018,4,11~20,11500,서울특별시 강서구, 등촌동,태영,"35,900",59.97
2018,4,1~10,11500,서울특별시 강서구, 화곡동,오케이A,"26,000",63.9
2018,4,1~10,11500,서울특별시 강서구, 화곡동,강서힐스테이트,"102,000",128.81
2018,4,1~10,11500,서울특별시 강서구, 화곡동,화곡예다움,"36,000",84.03
2018,4,11~20,11500,서울특별시 강서구, 화곡동,한백e,"21,000",57.06
2018,4,11~20,11500,서울특별시 강서구, 화곡동,"우장산아이파크,이편한세상","86,000",84.97
2018,4,1~10,11500,서울특별시 강서구, 가양동,가양2단지(성지),"33,800",39.6
2018,4,1~10,11500,서울특별시 강서구, 가양동,한강타운,"60,500",84.99
2018,4,11~20,11500,서울특별시 강서구, 가양동,가양2단지(성지),"34,000",39.6
2018,4,1~10,11500,서울특별시 강서구, 내발산동,우장산힐스테이트,"75,000",59.98
2018,4,11~20,11500,서울특별시 강서구, 내발산동,청솔해오름,"45,800",84.8729
2018,4,1~10,11500,서울특별시 강서구, 공항동,공항동부센트레빌,"47,900",59.96
2018,4,1~10,11500,서울특별시 강서구, 방화동,방화12도시개발공사,"32,750",51.03
2018,4,1~10,11500,서울특별시 강서구, 방화동,방화5,"25,000",33.18
2018,4,1~10,11500,서울특별시 강서구, 방화동,마곡푸르지오,"78,500",84.99
2018,4,1~10,11530,서울특별시 구로구, 신도림동,신도림3차푸르지오,"60,000",82.8
2018,4,11~20,11530,서울특별시 구로구, 신도림동,디큐브시티,"100,100",128.41
2018,4,11~20,11530,서울특별시 구로구, 신도림동,미성,"45,000",83.67
2018,4,11~20,11530,서울특별시 구로구, 신도림동,신도림대우푸르지오2차,"84,000",121.24
2018,4,1~10,11530,서울특별시 구로구, 구로동,신도림LG자이,"62,700",84.952
2018,4,1~10,11530,서울특별시 구로구, 구로동,구로현대,"39,000",84.57
2018,4,1~10,11530,서울특별시 구로구, 구로동,도림두산베어스타워,"39,000",82.73
2018,4,1~10,11530,서울특별시 구로구, 구로동,(739-29),"14,500",47.95
2018,4,1~10,11530,서울특별시 구로구, 구로동,구로두산위브,"31,000",36.88
2018,4,1~10,11530,서울특별시 구로구, 구로동,럭키,"35,300",71.4
2018,4,1~10,11530,서울특별시 구로구, 구로동,럭키,"34,900",59.98
2018,4,1~10,11530,서울특별시 구로구, 구로동,롯데,"55,800",84.93
2018,4,1~10,11530,서울특별시 구로구, 구로동,현대파크빌,"51,800",138.358
2018,4,1~10,11530,서울특별시 구로구, 구로동,(771-1),"7,200",20.7
2018,4,1~10,11530,서울특별시 구로구, 구로동,신도림로제리움,"13,800",16.92
2018,4,11~20,11530,서울특별시 구로구, 구로동,신도림로제리움,"15,000",20.55
2018,4,11~20,11530,서울특별시 구로구, 구로동,삼성아트빌라,"18,700",59.29
2018,4,11~20,11530,서울특별시 구로구, 구로동,주공2,"39,000",49.94
2018,4,11~20,11530,서울특별시 구로구, 구로동,구로두산,"32,700",51.84
2018,4,1~10,11530,서울특별시 구로구, 고척동,삼환로즈빌,"50,500",84.994
2018,4,1~10,11530,서울특별시 구로구, 고척동,청구,"32,000",59.94
2018,4,1~10,11530,서울특별시 구로구, 고척동,경남1,"28,500",59.98
2018,4,1~10,11530,서울특별시 구로구, 고척동,우성꿈동산,"28,000",76.76
2018,4,1~10,11530,서울특별시 구로구, 고척동,산업인,"16,000",48.04
2018,4,1~10,11530,서울특별시 구로구, 개봉동,개봉푸르지오,"60,900",119.86
2018,4,1~10,11530,서울특별시 구로구, 개봉동,개봉푸르지오,"46,400",59.86
2018,4,1~10,11530,서울특별시 구로구, 개봉동,거성푸르뫼1,"14,800",59.89
2018,4,1~10,11530,서울특별시 구로구, 개봉동,개봉푸르지오,"45,800",59.86
2018,4,1~10,11530,서울특별시 구로구, 개봉동,고운,"32,700",84.91
2018,4,1~10,11530,서울특별시 구로구, 개봉동,거성푸르뫼2,"33,150",84.96
2018,4,1~10,11530,서울특별시 구로구, 개봉동,고운,"32,500",84.91
2018,4,1~10,11530,서울특별시 구로구, 개봉동,청실,"30,000",64.56
2018,4,1~10,11530,서울특별시 구로구, 개봉동,영화,"33,200",59.78
2018,4,1~10,11530,서울특별시 구로구, 개봉동,개봉푸르지오,"51,500",84.88
2018,4,11~20,11545,서울특별시 금천구, 가산동,가산양우내안에애플,"11,500",12.04
2018,4,11~20,11545,서울특별시 금천구, 가산동,비즈트위트바이올렛5차,"13,500",12.19
2018,4,1~10,11545,서울특별시 금천구, 독산동,라이프,"34,000",84.74
2018,4,1~10,11545,서울특별시 금천구, 독산동,독산동한양수자인,"44,000",67.925
2018,4,1~10,11545,서울특별시 금천구, 독산동,이랜드해가든,"49,000",84.935
2018,4,1~10,11545,서울특별시 금천구, 독산동,금천현대,"33,000",59.82
2018,4,1~10,11545,서울특별시 금천구, 시흥동,벽산,"25,500",59.94
2018,4,1~10,11545,서울특별시 금천구, 시흥동,관악산벽산타운5,"35,700",84.97
2018,4,1~10,11545,서울특별시 금천구, 시흥동,남서울힐스테이트,"60,000",84.786
2018,4,1~10,11545,서울특별시 금천구, 시흥동,남서울힐스테이트,"55,500",84.786
2018,4,1~10,11545,서울특별시 금천구, 시흥동,신화아파트(200-4),"28,000",79.02
2018,4,11~20,11545,서울특별시 금천구, 시흥동,시흥동 월드메르디앙,"29,500",59.88
2018,4,11~20,11545,서울특별시 금천구, 시흥동,오성로얄,"28,500",80.72
2018,4,1~10,11560,서울특별시 영등포구, 영등포동,영일,"17,700",38.02
2018,4,11~20,11560,서울특별시 영등포구, 영등포동1가,헤렌어반,"11,000",13.331
2018,4,11~20,11560,서울특별시 영등포구, 영등포동1가,(145-0),"11,500",14.24
2018,4,11~20,11560,서울특별시 영등포구, 영등포동7가,훼미리하우스117,"11,700",16.98
2018,4,1~10,11560,서울특별시 영등포구, 여의도동,리첸시아,"108,000",147.71
2018,4,1~10,11560,서울특별시 영등포구, 당산동3가,당산계룡리슈빌3단지,"57,700",49.993
2018,4,1~10,11560,서울특별시 영등포구, 당산동4가,당산동반도유보라팰리스,"83,000",84.99
2018,4,1~10,11560,서울특별시 영등포구, 당산동,휴브리지빌딩,"14,900",17.11
2018,4,1~10,11560,서울특별시 영등포구, 문래동3가,한신,"48,000",58.96
2018,4,11~20,11560,서울특별시 영등포구, 문래동3가,문래동해태,"38,000",59.4
2018,4,1~10,11560,서울특별시 영등포구, 문래동6가,현대6,"37,300",50.55
2018,4,1~10,11560,서울특별시 영등포구, 양평동5가,한신,"67,000",84.87
2018,4,1~10,11560,서울특별시 영등포구, 신길동,우성3,"54,200",83.66
2018,4,11~20,11560,서울특별시 영등포구, 신길동,삼환,"50,500",59.53
2018,4,11~20,11560,서울특별시 영등포구, 신길동,한양,"31,000",60.48
2018,4,11~20,11560,서울특별시 영등포구, 신길동,여의도리버뷰,"12,000",12.96
2018,4,11~20,11560,서울특별시 영등포구, 신길동,우성3,"54,500",83.66
2018,4,11~20,11560,서울특별시 영등포구, 신길동,여의도리버뷰,"11,000",12.96
2018,4,1~10,11560,서울특별시 영등포구, 대림동,현대3,"52,500",59.83
2018,4,1~10,11560,서울특별시 영등포구, 대림동,쌍용플래티넘S,"12,550",18.24
2018,4,11~20,11560,서울특별시 영등포구, 대림동,(1101-1),"12,400",14.81
2018,4,1~10,11590,서울특별시 동작구, 노량진동,신동아리버파크,"75,000",114.75
2018,4,11~20,11590,서울특별시 동작구, 노량진동,메가스터디타워,"21,400",16.01
2018,4,1~10,11590,서울특별시 동작구, 상도동,성우2차,"29,000",83.83
2018,4,1~10,11590,서울특별시 동작구, 상도동,래미안상도3차,"87,500",84.96
2018,4,1~10,11590,서울특별시 동작구, 상도동,상도 휴엔하임,"16,770",14.7
2018,4,1~10,11590,서울특별시 동작구, 흑석동,우리유앤미,"49,500",59.6618
